,brand,model,year,price,color,condition,transmission,fuel_type,mileage
0,Toyota,RAV4,2017,"$18,998.00",Black,Used,Automatic,Other,"76,091"
1,Mitsubishi,RVR,2018,"$18,998.00",Silver,Used,Automatic,Other,"25,525"
2,Buick,Encore,2019,"$23,998.00",Other,Used,Automatic,Other,"38,250"
3,Kia,Forte5,2012,"$4,000.00",Black,Used,Other,Gasoline,"202,500"
4,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
5,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
6,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
7,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
8,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
9,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
10,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
11,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
12,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
13,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
14,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
15,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
16,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
17,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
18,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
19,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
20,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
21,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
22,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
23,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
24,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
25,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
26,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
27,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
28,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
29,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
30,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
31,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
32,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
33,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
34,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
35,Ford,F-250,1988,NaN,Red,Used,Manual,Gasoline,"109,000"
36,Ford,Escape,2014,"$9,995.00",White,Used,Automatic,Gasoline,"135,400"
37,GMC,Acadia,2017,"$29,000.00",Black,Used,Automatic,Gasoline,"95,000"
38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,Dodge,Grand Caravan,2020,"$32,000.00",Grey,Used,Automatic,Gasoline,"4,275"
45,Jeep,Wrangler,2015,"$31,899.00",Black,Used,Automatic,Gasoline,"111,044"
46,Ford,Transit,2017,"$35,499.00",Black,Used,Automatic,Gasoline,"112,571"
47,Ford,Escape,2017,"$17,888.00",Gold,Used,Automatic,Gasoline,"23,329"
48,Dodge,Caravan,2012,"$7,000.00",Grey,Used,Automatic,NaN,"137,000"
49,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
50,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
51,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
52,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
53,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
54,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
55,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
56,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
57,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
58,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
59,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
60,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
61,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
62,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
63,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
64,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
65,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
66,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
67,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
68,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
69,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
70,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
71,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
72,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
73,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
74,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
75,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
76,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
77,Hyundai,Santa Fe,2014,"$11,595.00",Silver,Used,Automatic,Other,"111,135"
78,Toyota,Corolla,2017,"$14,800.00",Silver,Used,NaN,Gasoline,"61,691"
79,Ram,1500,2013,"$14,995.00",Red,Used,Automatic,Gasoline,"250,900"
80,Ford,F-250,1988,NaN,Red,Used,Manual,Gasoline,"109,000"
81,Ford,Escape,2014,"$9,995.00",White,Used,Automatic,Gasoline,"135,400"
82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,Kia,Sorento,2011,"$8,495.00",Red,Used,Automatic,Gasoline,"124,473"
90,Jaguar,E-Pace,2018,"$34,990.00",Red,Used,NaN,Gasoline,"52,443"
91,Toyota,Corolla,2016,"$15,998.00",Blue,Used,Automatic,Other,"85,567"
92,Kia,Optima,2016,"$14,988.00",White,Used,Automatic,Gasoline,"98,400"
93,Jeep,Patriot,2013,"$5,495.00",Silver,Used,Automatic,Gasoline,"194,720"
94,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
95,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
96,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
97,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
98,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
99,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
100,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
